t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
0,1.1025659186970622,0.012204284952025014,0.9865836978505989,0.33474172035141314,0.9914267507333018,3.0148332224087154e-06,2.5664987437989204,1.2936364239959905
1,5.05175542683629,0.0007759075905370952,2.30826395263472,0.5204270563661392,0.48148763076760404,0.3980820248542763,0.03577972962915228,4.370620613236991
2,0.48342475248341266,5.547740358941816,0.9427214609059756,0.04456312703910892,1.7015082987641774,2.600014456224681,2.5216512948180183,3.627659726694113
3,0.02081939108766918,0.03840861354493897,0.7468551909769516,0.22800237467536597,0.017160086961626242,5.60567603362592,1.4652850385898926,0.35323711051216833
4,1.2944246860970519,2.430516448280035,0.3651910657594073,0.02796731975097954,0.26837966824251014,0.6817396184106785,4.370434803138141,0.0010339724507918736
5,7.123682307547574,0.590135733104634,9.211245856259431,2.7653009860384823,2.0941530066234666,4.978670620719632,4.920352697668089,2.4075098359520366
6,0.0035335501629163457,2.5731538275512906,0.08882471716360585,0.2203569220249074,0.2259251883915287,0.7782483790158536,0.043103793836581354,0.23977757602796082
7,0.18134242887171717,2.58142169938168,0.8267616832780229,0.08672809753617923,3.95985246505155,0.7688705473194071,2.0502675267002615,0.8917242735072592
8,4.23798929544108,1.0896426634642378,0.20089958699916366,14.055046958732737,0.21098243160389313,4.980300933938302,1.4224663557585486,1.8251807100644786
9,0.15153169835656521,0.037486574516026945,0.47927729059791113,0.01689074365116096,3.2306826307202776,0.39267515397959507,0.3185568560479967,0.16036948567002599
10,5.677058971948093,0.23518028314408448,0.6150868433539181,0.0015701242016244099,10.740492490209466,2.1830426605955737,1.9886307766779332,1.9488357349418552
11,0.11067363989791679,0.1782459519385276,0.12173050664538115,0.2013817836690456,0.73232893562459,0.16215927265838312,0.00017056078372389662,0.6688323298409976
12,0.4225565076708013,0.5082523747540613,0.10909352603381553,1.4151983925163074,1.4880814807317497,0.00019810073942174114,0.9618896777517936,0.1444941984538668
13,0.37592806470974405,0.05161763409266192,0.165952694634138,0.17375130132324473,0.09632279747523902,1.873984433803663,2.7802600481571598,0.38602675392056834
14,2.6262995502113373,2.819681317586415,9.07001260330717,9.64668074196673,0.08029775387610992,10.124879826458054,5.646225929401884,3.166713419904277
15,3.5237961933970676,1.6001996668504825,2.063865706036779,8.988590424437396,10.929457072013957,2.262536353027345,5.457789942286969,0.4986285247560823
