method,event_index,replication,seed,event_time,horizon,relative_gap
equal,0,0,42,200,0,1.0
equal,0,0,42,200,1,1.0
equal,0,0,42,200,2,1.0
equal,0,0,42,200,3,1.0
equal,0,0,42,200,4,1.0
equal,0,0,42,200,5,1.0
equal,0,0,42,200,6,1.0
equal,0,0,42,200,7,1.0
equal,0,0,42,200,8,1.0
equal,0,0,42,200,9,1.0
equal,0,0,42,200,10,1.0
equal,0,0,42,200,11,1.0
equal,0,0,42,200,12,1.0
equal,0,0,42,200,13,1.0
equal,0,0,42,200,14,1.0
equal,0,0,42,200,15,1.0
equal,0,0,42,200,16,1.0
equal,0,0,42,200,17,1.0
equal,0,0,42,200,18,1.0
equal,0,0,42,200,19,1.0
equal,0,0,42,200,20,1.0
equal,0,0,42,200,21,1.0
equal,0,0,42,200,22,1.0
equal,0,0,42,200,23,1.0
equal,0,0,42,200,24,1.0
equal,0,0,42,200,25,1.0
equal,0,0,42,200,26,1.0
equal,0,0,42,200,27,1.0
equal,0,0,42,200,28,1.0
equal,0,0,42,200,29,1.0
equal,0,0,42,200,30,1.0
equal,0,0,42,200,31,1.0
equal,0,0,42,200,32,1.0
equal,0,0,42,200,33,1.0
equal,0,0,42,200,34,1.0
equal,0,0,42,200,35,1.0
equal,0,0,42,200,36,1.0
equal,0,0,42,200,37,1.0
equal,0,0,42,200,38,1.0
equal,0,0,42,200,39,1.0
equal,0,0,42,200,40,1.0
equal,0,0,42,200,41,1.0
equal,0,0,42,200,42,1.0
equal,0,0,42,200,43,1.0
equal,0,0,42,200,44,1.0
equal,0,0,42,200,45,1.0
equal,0,0,42,200,46,1.0
equal,0,0,42,200,47,1.0
equal,0,0,42,200,48,1.0
equal,0,0,42,200,49,1.0
equal,0,0,42,200,50,1.0
equal,0,0,42,200,51,1.0
equal,0,0,42,200,52,1.0
equal,0,0,42,200,53,1.0
equal,0,0,42,200,54,1.0
equal,0,0,42,200,55,1.0
equal,0,0,42,200,56,1.0
equal,0,0,42,200,57,1.0
equal,0,0,42,200,58,1.0
equal,0,0,42,200,59,1.0
equal,0,0,42,200,60,1.0
equal,0,0,42,200,61,1.0
equal,0,0,42,200,62,1.0
equal,0,0,42,200,63,1.0
equal,0,0,42,200,64,1.0
equal,0,0,42,200,65,1.0
equal,0,0,42,200,66,1.0
equal,0,0,42,200,67,1.0
equal,0,0,42,200,68,1.0
equal,0,0,42,200,69,1.0
equal,0,0,42,200,70,1.0
equal,0,0,42,200,71,1.0
equal,0,0,42,200,72,1.0
equal,0,0,42,200,73,1.0
equal,0,0,42,200,74,1.0
equal,0,0,42,200,75,1.0
equal,0,0,42,200,76,1.0
equal,0,0,42,200,77,1.0
equal,0,0,42,200,78,1.0
equal,0,0,42,200,79,1.0
bates_granger_mv,0,0,42,200,0,1.0
bates_granger_mv,0,0,42,200,1,1.043508313897058
bates_granger_mv,0,0,42,200,2,0.9806033510922596
bates_granger_mv,0,0,42,200,3,0.8890835389465185
bates_granger_mv,0,0,42,200,4,0.8717822827105768
bates_granger_mv,0,0,42,200,5,0.8907532664470605
bates_granger_mv,0,0,42,200,6,0.9669948720817358
bates_granger_mv,0,0,42,200,7,1.052162967030559
bates_granger_mv,0,0,42,200,8,1.1184572925805787
bates_granger_mv,0,0,42,200,9,1.1689001584745955
bates_granger_mv,0,0,42,200,10,0.9211738393983657
bates_granger_mv,0,0,42,200,11,0.9151016958549616
bates_granger_mv,0,0,42,200,12,0.9252354109769252
bates_granger_mv,0,0,42,200,13,0.8721108236267001
bates_granger_mv,0,0,42,200,14,0.8907068996196217
bates_granger_mv,0,0,42,200,15,0.8617666102888812
bates_granger_mv,0,0,42,200,16,0.8926548160021923
