oos_period,window,validation_loss
20,20,
21,20,
22,20,
23,20,
24,20,
25,20,
26,20,
27,20,
28,20,
29,20,
30,20,
31,20,
32,20,
33,20,
34,20,
35,20,
36,20,
37,20,
38,20,
39,20,
40,20,
41,20,
42,20,
43,20,
44,20,
45,20,
46,20,
47,20,
48,20,
49,20,
20,40,
21,40,
22,40,
23,40,
24,40,
25,40,
26,40,
27,40,
28,40,
29,40,
30,40,
31,40,
32,40,
33,40,
34,40,
35,40,
36,40,
37,40,
38,40,
39,40,
40,40,
41,40,
42,40,
43,40,
44,40,
45,40,
46,40,
47,40,
48,40,
49,40,
20,60,
21,60,
22,60,
23,60,
24,60,
25,60,
26,60,
27,60,
28,60,
29,60,
30,60,
31,60,
32,60,
33,60,
34,60,
35,60,
36,60,
37,60,
38,60,
39,60,
40,60,
41,60,
42,60,
43,60,
44,60,
45,60,
46,60,
47,60,
48,60,
49,60,
