method,mean_loss,mcs_pvalue,in_mcs,elimination_step
full_gcsr_eigenvector,0.7241774792064594,1.0,True,0
full_gcsr_pagerank,0.7313825470898009,1.0,True,0
full_gcsr_softmax,0.7353025013247685,1.0,True,0
graph_only_eigenvector,1.0637893619267285,0.0,False,4
graph_only_pagerank,0.7471937028442708,1.0,True,0
graph_only_softmax,0.7581396835488654,1.0,True,0
rs_selection,1.3211157784031002,0.0,False,1
rs_selection_v2,1.3334014568035208,0.0,False,3
bates_granger_mv,0.7404443269811255,1.0,True,0
var_error,0.7184911486459756,1.0,True,0
recent_best,1.3755440679597009,0.0,False,2
equal,0.6551171853150582,1.0,True,0
