oos_period,window,validation_loss
150,20,
151,20,
152,20,
153,20,
154,20,
155,20,
156,20,
157,20,
158,20,
159,20,
160,20,
161,20,
162,20,
163,20,
164,20,
165,20,
166,20,
167,20,
168,20,
169,20,
170,20,
171,20,
172,20,
173,20,
174,20,
175,20,
176,20,
177,20,
178,20,
179,20,
180,20,
181,20,
182,20,
183,20,
184,20,
185,20,
186,20,
187,20,
188,20,
189,20,
190,20,
191,20,
192,20,
193,20,
194,20,
195,20,
196,20,
197,20,
198,20,
199,20,
200,20,
201,20,
202,20,
203,20,
204,20,
205,20,
206,20,
207,20,
208,20,
209,20,
210,20,
211,20,
212,20,
213,20,
214,20,
215,20,
216,20,
217,20,
218,20,
219,20,
220,20,
221,20,
222,20,
223,20,
224,20,
225,20,
226,20,
227,20,
228,20,
229,20,
230,20,
231,20,
232,20,
233,20,
234,20,
235,20,
236,20,
237,20,
238,20,
239,20,
240,20,
241,20,
242,20,
243,20,
244,20,
245,20,
246,20,
247,20,
248,20,
249,20,
250,20,
251,20,
252,20,
253,20,
254,20,
255,20,
256,20,
257,20,
258,20,
259,20,
260,20,
261,20,
262,20,
263,20,
264,20,
265,20,
266,20,
267,20,
268,20,
269,20,
270,20,
271,20,
272,20,
273,20,
274,20,
275,20,
276,20,
277,20,
278,20,
279,20,
280,20,
281,20,
282,20,
283,20,
284,20,
285,20,
286,20,
287,20,
288,20,
289,20,
290,20,
291,20,
292,20,
293,20,
294,20,
295,20,
296,20,
297,20,
298,20,
299,20,
150,40,
151,40,
152,40,
153,40,
154,40,
155,40,
156,40,
157,40,
158,40,
159,40,
160,40,
161,40,
162,40,
163,40,
164,40,
165,40,
166,40,
167,40,
168,40,
169,40,
170,40,
171,40,
172,40,
173,40,
174,40,
175,40,
176,40,
177,40,
178,40,
179,40,
180,40,
181,40,
182,40,
183,40,
184,40,
185,40,
186,40,
187,40,
188,40,
189,40,
190,40,
191,40,
192,40,
193,40,
194,40,
195,40,
196,40,
197,40,
198,40,
199,40,
200,40,
201,40,
202,40,
203,40,
204,40,
205,40,
206,40,
207,40,
208,40,
209,40,
210,40,
211,40,
212,40,
213,40,
214,40,
215,40,
216,40,
217,40,
218,40,
219,40,
220,40,
221,40,
222,40,
223,40,
224,40,
225,40,
226,40,
227,40,
228,40,
229,40,
230,40,
231,40,
232,40,
233,40,
234,40,
235,40,
236,40,
237,40,
238,40,
239,40,
240,40,
241,40,
242,40,
243,40,
244,40,
245,40,
246,40,
247,40,
248,40,
249,40,
250,40,
251,40,
252,40,
253,40,
254,40,
255,40,
256,40,
257,40,
258,40,
259,40,
260,40,
261,40,
262,40,
263,40,
264,40,
265,40,
266,40,
267,40,
268,40,
269,40,
270,40,
271,40,
272,40,
273,40,
274,40,
275,40,
276,40,
277,40,
278,40,
279,40,
280,40,
281,40,
282,40,
283,40,
284,40,
285,40,
286,40,
287,40,
288,40,
289,40,
290,40,
291,40,
292,40,
293,40,
294,40,
295,40,
296,40,
297,40,
298,40,
299,40,
150,60,
151,60,
152,60,
153,60,
154,60,
155,60,
156,60,
157,60,
158,60,
159,60,
160,60,
161,60,
162,60,
163,60,
164,60,
165,60,
166,60,
167,60,
168,60,
169,60,
170,60,
171,60,
172,60,
173,60,
174,60,
175,60,
176,60,
177,60,
178,60,
179,60,
180,60,
181,60,
182,60,
183,60,
184,60,
185,60,
186,60,
187,60,
188,60,
189,60,
190,60,
191,60,
192,60,
193,60,
194,60,
195,60,
196,60,
197,60,
198,60,
199,60,
200,60,
201,60,
202,60,
203,60,
204,60,
205,60,
206,60,
207,60,
208,60,
209,60,
210,60,
211,60,
212,60,
213,60,
214,60,
215,60,
216,60,
217,60,
218,60,
219,60,
220,60,
221,60,
222,60,
223,60,
224,60,
225,60,
226,60,
227,60,
228,60,
229,60,
230,60,
231,60,
232,60,
233,60,
234,60,
235,60,
236,60,
237,60,
238,60,
239,60,
240,60,
241,60,
242,60,
243,60,
244,60,
245,60,
246,60,
247,60,
248,60,
249,60,
250,60,
251,60,
252,60,
253,60,
254,60,
255,60,
256,60,
257,60,
258,60,
259,60,
260,60,
261,60,
262,60,
263,60,
264,60,
265,60,
266,60,
267,60,
268,60,
269,60,
270,60,
271,60,
272,60,
273,60,
274,60,
275,60,
276,60,
277,60,
278,60,
279,60,
280,60,
281,60,
282,60,
283,60,
284,60,
285,60,
286,60,
287,60,
288,60,
289,60,
290,60,
291,60,
292,60,
293,60,
294,60,
295,60,
296,60,
297,60,
298,60,
299,60,
