t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
0,0.7824036648528433,-0.033207512012104146,0.6291342639614739,-0.7225494557154898,-0.6310351016629429,-0.4868436583066328,-1.8331436144392708,0.8832723733903981
1,1.1716129363714836,-0.7536194483665084,0.33122574865270826,-0.24700790521898258,0.36641463572657473,-0.6622368340475329,-0.8534709716085979,1.087496350513641
2,-0.05530143943221715,2.255082366816368,0.04959914578341571,-0.8550641257113761,1.3567011583027808,0.6693636678997956,0.6765909023619388,1.2569324445372125
3,-0.6432821721590363,-0.14429689021267272,-0.14778854457206692,-1.164152034908277,-0.28644274558918026,1.4067778961819257,0.21303686451051998,-1.422239829100563
4,-1.5327201966190336,1.9840138424476996,-0.07398263160433394,-0.5639093440689615,-0.2961830729253016,-1.5456833875224818,1.204087641811771,-0.41495757002054295
5,1.3264521707097563,0.05562950862764282,1.1797684120736918,0.20881911952253174,0.9408622988461364,0.7484201153192995,0.4979805180804746,0.3678684014810659
6,-0.23049042286879207,2.3459336908480073,-0.7466672004898763,-0.0015676954272706434,0.012199445284262866,0.42108473587503,-0.33964930862182374,0.3361924441594326
7,-0.16529383688584728,-1.9324227495517274,0.0031584687621456498,-0.8504220221334134,-2.0629732543734516,0.14173390957138615,0.3680480535924281,0.5783153656302902
8,0.5281402650892181,-2.332833813327541,-1.0996997526884624,1.4339662661282966,-1.2912883764664769,0.6474505567861116,-0.5202367410882099,0.08033503383479401
9,-0.6056312499239439,0.6618801092330876,0.09836839346523191,-0.3252411202501627,-1.3557751246276255,0.27755166858960306,-0.8936841236971577,0.48512392446958824
10,2.420178568081309,1.5916527805582084,0.5543740067870142,-0.06705343706689249,-2.618873218461203,-1.4328048495909544,0.9297365632654937,-0.9641123293346445
11,-0.6644722400759064,-0.21268531570330063,-0.8323312625721626,-0.8255663555332229,-0.08695074762982868,-0.9583917528734776,-0.5630980222718642,-0.988116723485408
12,0.47640908586870123,-0.2952118360042385,-0.15328759995735974,0.3708772341994387,-0.22591445756029283,-0.3132285040936865,0.3322253543660569,0.8361294424339487
